algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
DenoisingAutoEncoder (DAE),OBSEA,2022-09-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",12.683937549591064,,,8.032748699188232,,,0.7018673743486845,0.5521070857910337,0.6140557877150423,0.4029903880384478,0.6142474932633587,../../../../TimeEval_work_results/best4avgens_2122/2024_04_23_10_13_17/results.csv,
RobustPCA,OBSEA,2021-01-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},103.4487805366516,,,7.503721952438354,,,0.2896501222134086,0.8472597152493697,0.836593800464259,0.0,0.6134593213697379,../../../../TimeEval_work_results/for_Oracle/2024_05_24_08_41_11/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-12-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,5,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.01161551475525,,,8.348004817962646,,,0.6279948078661433,0.7607975175524292,0.6435713318747879,0.1704400915797507,0.6132731762797942,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_10_29_42/results.csv,
LOF,OBSEA,2020-10-17_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,3,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.240150690078735,,,0.5428544696648987,0.6722116220757905,0.7269326410102832,0.0006087662337662,0.6130628363034755,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
AutoEncoder (AE),OBSEA,2020-12-14,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.849827766418457,,,7.774873495101929,,,0.4775317978501801,0.822520749843775,0.6958445191723428,0.0,0.6127908279256448,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_08_38_09/results.csv,
AutoEncoder (AE),OBSEA,2021-01-02,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",23.181966543197632,,,8.538981914520264,,,0.5136277582200923,0.8095086281270841,0.67351975189172,0.0,0.6125671511590072,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_01_29_04/results.csv,
CBLOF,OBSEA,2021-01-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,18.31630182266236,,,0.573803123861717,0.6087829953862022,,,0.6121921924479335,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_10_54_58/results.csv,
PCC,OBSEA,2021-10-04_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,5.991995811462402,,,0.6507638577738637,0.4263030777786877,0.6569673591156809,0.0,0.6115536758703157,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_01_49_25/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-01-21,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",15.154099941253662,,,9.784016370773315,,,0.5690214737770061,0.8622353093319216,0.6697974937076869,0.0143273433705682,0.6109647030085724,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,
PCC,OBSEA,2022-08-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,10.342482566833496,,,0.8516228722057976,0.5639136235417339,0.6243127005122271,0.2835990888382688,0.6107607520335023,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained21_infer22/2024_04_21_03_29_02/results.csv,
HBOS,OBSEA,2020-10-20_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,5,"{'n_bins': 20, 'random_state': 42}",,,,11.819913864135742,,,0.821211218014342,0.8141451647996094,0.5767572878944285,0.0631632137443153,0.6107427432245678,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_54/results.csv,
CBLOF,OBSEA,2022-08-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,25.598217725753784,,,0.7684085359300288,0.4461814159424629,,,0.6103144542606739,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_17_22_49/results.csv,
LOF,OBSEA,2023-05-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,15.22028946876526,,,0.5002847410830287,0.6103885186979011,0.7486094042585504,0.0,0.6097610760024911,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_20_25_26/results.csv,
CBLOF,OBSEA,2021-01-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,15.561203956604004,,,0.5678867100698715,0.6058209328614803,,,0.6096996198161545,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_10_48_56/results.csv,
COPOD,OBSEA,2020-12-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,5,{'random_state': 42},,,,8.741302728652954,,,0.6496068381535187,0.7182528661840796,0.6440805039951897,0.0277283134062579,0.6092133866945706,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_52/results.csv,
PCC,OBSEA,2020-11-01_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,6.9990010261535645,,,0.6983739586035713,0.6926244430152692,0.5633079725283258,0.175185054635178,0.6090388692004377,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_21_27_30/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-01-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",22.985961198806763,,,14.79578447341919,,,0.5761152882544378,0.885993291796847,0.6225545007007685,0.0,0.6084913230728796,../../../../TimeEval_work_results/for_Oracle/2024_04_14_23_46_49/results.csv,
HBOS,OBSEA,2021-01-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,12.762573957443236,,,0.6279515983871972,0.6836121315240345,0.5978536469851428,0.0,0.608396513506887,../../../../TimeEval_work_results/for_Oracle/2024_04_14_23_44_26/results.csv,
Hybrid KNN,OBSEA,2020-09-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,2,"{'anomaly_window_size': 874, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",10812.33076763153,,,93.3482747077942,,0.2208971977233886,0.0,0.0,0.3547528657861941,0.0,0.6078125,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_09_07_23/results.csv,0.3547557840616966
DenoisingAutoEncoder (DAE),OBSEA,2020-12-09,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.717869997024536,,,8.533882856369019,,,0.5953646854595922,0.8696341788273568,0.6528372647431454,0.0,0.6071787144713998,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_10_29_42/results.csv,
CBLOF,OBSEA,2020-06-07_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,3,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,14.199979066848757,,,0.91530260548187,0.5115463999974222,0.6123981169739697,0.4205378973105134,0.6067368434887833,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
LOF,OBSEA,2020-12-17_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,4,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,10.47728180885315,,,0.5437993712806752,0.5944848350423874,0.7058072961541051,0.0,0.606680462470994,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
Hybrid KNN,OBSEA,2020-10-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,1,"{'anomaly_window_size': 1147, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",10812.730791568756,,,84.41364121437073,,0.2448794841766357,0.0,0.0,0.3511421432556128,0.0,0.6064814814814815,../../../../TimeEval_work_results/for_Oracle4/2024_07_05_20_51_20/results.csv,
PCC,OBSEA,2022-05-16_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",,,,10.558470010757446,,,0.9596823664681894,0.4839051922884921,0.6616707269715038,0.0407055630936228,0.606265489943542,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_08_26_14/results.csv,
Hybrid KNN,OBSEA,2020-07-01,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,2,"{'anomaly_window_size': 434, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",10812.291213989258,,,101.09607243537904,,0.1108503341674804,0.0,0.0,0.3497249339858374,0.0,0.6059606481481481,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_10_22_44_33/results.csv,
DeepAnT,OBSEA,2020-12-21,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,1,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",8196.733428239822,,,257.0398442745209,,0.0147480964660644,0.6231463981450539,0.6422916238052215,,,0.6044840612275689,../../../../TimeEval_work_results/imputed_training_data_MSAD_2020/2024_06_12_12_15_37/results.csv,
HBOS,OBSEA,2020-10-02_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,3,"{'n_bins': 20, 'random_state': 42}",,,,9.23170042037964,,,0.8223290597576008,0.6911440283966918,0.5698126372330603,0.2717913520933425,0.6043437766012214,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_05/results.csv,
PCC,OBSEA,2021-01-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",,,,7.393376588821411,,,0.4906425441562596,0.8788992998225271,0.6818206244723376,0.0,0.6043124824376658,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_01_20_46/results.csv,
LOF,OBSEA,2020-04-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,3,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,7.998144865036011,,,0.6273661046319938,0.4824831013058779,0.6551679654223959,0.0189910979228486,0.6042581213440137,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2020-12-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,2,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.212877035140991,,,0.5195097172355039,0.6351138761598524,0.7280772466715499,0.0050679099939185,0.6041747243857445,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
HBOS,OBSEA,2021-01-02_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",,,,12.19579553604126,,,0.5143591637884862,0.8202189700614364,0.67351975189172,0.0,0.6039425857460663,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_04_18_31/results.csv,
RobustPCA,OBSEA,2020-07-13,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},128.47130703926086,,,8.053433895111084,,,0.3745388755606602,0.6218986511960202,,,0.603785972755252,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_19_20_21_02/results.csv,
CBLOF,OBSEA,2020-11-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,2,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,17.35123300552368,,,0.7038091967190048,0.4438085275596146,0.5525096024800642,0.5532681420483788,0.6031464489567993,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
COPOD,OBSEA,2021-01-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,3,{'random_state': 42},,,,8.640632629394531,,,0.6047091772665277,0.639118564873523,,,0.6030876240579021,../../../../TimeEval_work_results/transfer_learning_results/2024_05_15_09_45_49/results.csv,
LOF,OBSEA,2020-12-16_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.99677562713623,,,0.4700014313879472,0.6333352150924683,0.7614005566640956,0.0007542900245144,0.602818783024081,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
CBLOF,OBSEA,2022-04-23_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,1,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,21.0437924861908,,,0.9027095502336449,0.324549932906873,,,0.6023490041262594,../../../../TimeEval_work_results/for_Oracle5/2024_07_07_16_00_38/results.csv,
COPOD,OBSEA,2022-08-18_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,7.20998215675354,,,0.8084345735256897,0.3486993662549404,,,0.6022783460395623,../../../../TimeEval_work_results/for_Oracle_240724/2024_07_20_01_32_55/results.csv,
Hybrid KNN,OBSEA,2020-08-27,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,d852178245930741e52e3256766fcbbc,4,"{'anomaly_window_size': 330, 'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'n_estimators': 500, 'n_neighbors': 10, 'random_state': 42, 'split': 0.8, 'test_batch_size': 64}",10812.881184339523,,,83.2665741443634,,0.0871930122375488,0.0,0.0,0.338778189729322,0.0,0.6019675925925926,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_11_35_23/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2021-10-01,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",32.211259603500366,,,13.947613954544067,,,0.67193706211817,0.4599386219091761,0.6138343828942261,0.286743515850144,0.6013383839923552,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_15_37_24/results.csv,
DenoisingAutoEncoder (DAE),OBSEA,2020-08-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",19.131187200546265,,,8.765952825546265,,,0.9035866871244598,0.4417930888561807,0.5856254847774902,0.3076923076923077,0.6012349368629046,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_11_07_39/results.csv,
COPOD,OBSEA,2023-09-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},,,,16.44301676750183,,,0.9403677192798794,0.28995149974487,0.5601728290421364,0.2394578313253012,0.6007164819187503,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_10_22_24_42/results.csv,
RobustPCA,OBSEA,2023-09-19,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,1,{'random_state': 42},238.0497615337372,,,12.376182079315186,,,0.90634766256439,0.3338834389693346,0.5682463458340165,0.5768072289156626,0.6006158725495325,../../../../TimeEval_work_results/for_Oracle23_1/2024_07_11_04_10_20/results.csv,
CBLOF,OBSEA,2020-09-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,4af4d919471b6491e8bdcca811a5e413,2,"{'n_clusters': 50, 'n_jobs': 1, 'random_state': 42}",,,,17.536283254623413,,,0.6415829424660144,0.5777695655657962,0.5669036024129409,0.013909440662918,0.6003866397188663,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_17_32/results.csv,
DeepAnT,OBSEA,2020-12-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,f1d3356f9300f17a84a6becaa8cf8758,2,"{'batch_size': 64, 'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'learning_rate': 0.001, 'prediction_window_size': 50, 'random_state': 42, 'split': 0.8, 'window_size': 50}",10812.139119625092,,,925.6450850963593,,0.0219354629516601,0.540124859521691,0.608283057614589,0.7462323691295096,0.0,0.6002798023823462,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_11_18_02/results.csv,
