,LOF
OBSEA/2022-01-27.out,0.32884097035040427
OBSEA/2022-01-28.out,0.2924528301886793
OBSEA/2022-01-29.out,0.3032345013477089
OBSEA/2022-01-30.out,0.30592991913746626
OBSEA/2022-01-31.out,0.2978436657681941
OBSEA/2022-02-01.out,0.3584905660377359
OBSEA/2022-02-02.out,0.39622641509433965
OBSEA/2022-02-03.out,0.2735849056603774
OBSEA/2022-02-04.out,0.3638814016172507
OBSEA/2022-02-05.out,0.339622641509434
OBSEA/2022-02-06.out,0.2560646900269542
OBSEA/2022-02-07.out,0.398921832884097
OBSEA/2022-02-08.out,0.3207547169811321
OBSEA/2022-02-09.out,0.3517520215633423
OBSEA/2022-02-10.out,0.2749326145552561
OBSEA/2022-02-11.out,0.28167115902964956
OBSEA/2022-02-12.out,0.3086253369272237
OBSEA/2022-02-13.out,0.34231805929919135
OBSEA/2022-02-14.out,0.3504043126684636
OBSEA/2022-02-15.out,0.238544474393531
OBSEA/2022-02-16.out,0.33018867924528306
OBSEA/2022-02-17.out,0.28840970350404316
OBSEA/2022-02-18.out,0.39622641509433965
OBSEA/2022-02-19.out,0.39487870619946097
OBSEA/2022-02-20.out,0.421832884097035
OBSEA/2022-02-21.out,0.32884097035040427
OBSEA/2022-02-22.out,0.43126684636118595
OBSEA/2022-02-23.out,0.29514824797843664
OBSEA/2022-02-24.out,0.2735849056603774
OBSEA/2022-02-25.out,0.24528301886792447
OBSEA/2022-02-26.out,0.31940700808625333
OBSEA/2022-02-27.out,0.27088948787061995
OBSEA/2022-03-01.out,0.2857142857142857
OBSEA/2022-03-02.out,0.2803234501347709
OBSEA/2022-03-03.out,0.42452830188679247
OBSEA/2022-03-04.out,0.30053908355795145
OBSEA/2022-03-05.out,0.4110512129380054
OBSEA/2022-03-06.out,0.2574123989218329
OBSEA/2022-03-07.out,0.31940700808625333
OBSEA/2022-03-08.out,0.3921832884097035
OBSEA/2022-03-09.out,0.37196765498652296
OBSEA/2022-03-10.out,0.24663072776280326
OBSEA/2022-03-11.out,0.2803234501347709
OBSEA/2022-03-12.out,0.3921832884097035
OBSEA/2022-03-13.out,0.24663072776280326
OBSEA/2022-03-14.out,0.137346281846382
OBSEA/2022-03-15.out,0.2735849056603774
OBSEA/2022-03-16.out,0.3099730458221024
OBSEA/2022-03-17.out,0.2803234501347709
OBSEA/2022-03-18.out,0.26010781671159033
OBSEA/2022-03-19.out,0.3557951482479784
OBSEA/2022-03-20.out,0.28167115902964956
OBSEA/2022-03-21.out,0.39487870619946097
OBSEA/2022-03-22.out,0.26549865229110514
OBSEA/2022-03-23.out,0.2803234501347709
OBSEA/2022-03-24.out,0.22506738544474392
OBSEA/2022-03-25.out,0.3099730458221024
OBSEA/2022-03-26.out,0.23584905660377353
OBSEA/2022-03-27.out,0.3032345013477089
OBSEA/2022-03-28.out,0.39083557951482484
OBSEA/2022-03-29.out,0.3032345013477089
OBSEA/2022-03-30.out,0.34231805929919135
OBSEA/2022-03-31.out,0.30592991913746626
OBSEA/2022-04-01.out,0.2870619946091644
OBSEA/2022-04-02.out,0.20485175202156336
OBSEA/2022-04-03.out,0.284366576819407
OBSEA/2022-04-04.out,0.2789757412398922
OBSEA/2022-04-05.out,0.36522911051212936
OBSEA/2022-04-06.out,0.3463611859838275
OBSEA/2022-04-07.out,0.4056603773584906
OBSEA/2022-04-08.out,0.27762803234501343
OBSEA/2022-04-09.out,0.2668463611859838
OBSEA/2022-04-10.out,0.23989218328840967
OBSEA/2022-04-11.out,0.2506738544474394
OBSEA/2022-04-12.out,0.41374663072776285
OBSEA/2022-04-13.out,0.3086253369272237
OBSEA/2022-04-15.out,0.28975741239892183
OBSEA/2022-04-16.out,0.34097035040431267
OBSEA/2022-04-17.out,0.3342318059299192
OBSEA/2022-04-18.out,0.1778975741239892
OBSEA/2022-04-20.out,0.3638814016172507
OBSEA/2022-04-21.out,0.3382749326145552
OBSEA/2022-04-22.out,0.4002695417789758
OBSEA/2022-04-23.out,0.36657681940700804
OBSEA/2022-04-24.out,0.28840970350404316
OBSEA/2022-04-25.out,0.3584905660377359
OBSEA/2022-04-26.out,0.34231805929919135
OBSEA/2022-04-27.out,0.32884097035040427
OBSEA/2022-04-28.out,0.3638814016172507
OBSEA/2022-04-29.out,0.32345013477088946
OBSEA/2022-04-30.out,0.2924528301886793
OBSEA/2022-05-01.out,0.3867924528301887
OBSEA/2022-05-02.out,0.316711590296496
OBSEA/2022-05-03.out,0.2803234501347709
OBSEA/2022-05-04.out,0.30188679245283023
OBSEA/2022-05-05.out,0.37196765498652296
OBSEA/2022-05-06.out,0.33153638814016173
OBSEA/2022-05-07.out,0.28167115902964956
OBSEA/2022-05-08.out,0.2439353099730458
OBSEA/2022-05-09.out,0.29380053908355797
OBSEA/2022-05-10.out,0.35983827493261455
