,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31
2020-06-24.out.48,8.0,0.8555832,0.7646416,0.6812785,0.7419062,0.7419062,0.7191708,0.8101124,0.8555832,0.8404262,0.8480047,0.8480047,0.8176908,0.9086324,0.9010539,0.9162109,0.9616817,1.0298878,1.0450448,1.0223094,1.0829371,1.1587217,1.0677801,1.0223094,1.1435648,1.0829371,1.0753586,1.0905155,1.0829371,0.9086324,0.9616817,0.9692601,0.8631616
2020-06-24.out.49,8.0,0.9768386,1.0602017,1.0905155,1.0071524,1.0526232,1.1208294,1.1132509,1.0753586,1.1435648,1.1814571,1.1132509,1.0905155,1.0071524,1.0147309,1.0223094,1.0223094,1.0374663,1.0147309,1.0374663,1.0223094,1.0905155,1.0071524,0.999574,1.0450448,1.0223094,0.9919955,1.1132509,1.1511433,1.1359863,1.1359863,1.310291,1.1359863
2020-06-24.out.50,8.0,1.3178695,1.3254479,1.3936541,1.1890356,1.0829371,1.098094,1.1056725,1.2193494,1.0905155,1.2041925,1.1132509,0.9010539,1.0602017,1.1359863,1.0223094,1.2345064,1.2572418,1.3178695,1.0753586,1.1132509,1.2269279,1.1056725,1.0753586,0.7722201,0.8025339,0.8176908,0.9692601,0.9692601,1.0298878,1.0526232,0.9389463,1.1587217
2020-06-24.out.51,8.0,0.9919955,1.1359863,1.0677801,1.098094,1.0829371,1.0526232,0.984417,0.9389463,0.9616817,0.9768386,0.9162109,0.984417,0.9465247,1.0147309,1.0223094,1.0905155,1.0602017,0.999574,0.9541032,1.0526232,1.1132509,0.984417,1.0450448,1.098094,1.1814571,1.1284079,1.1208294,1.0374663,1.0753586,1.1132509,1.2193494,1.0829371
2020-06-24.out.52,8.0,1.1208294,1.0298878,0.999574,0.984417,1.0374663,0.9389463,0.9465247,0.9768386,0.9768386,0.9237893,0.9465247,0.9541032,0.9162109,0.9692601,0.999574,0.9313678,0.9768386,0.9162109,0.9389463,0.9086324,0.8404262,0.8707401,0.8783185,0.8631616,0.8631616,0.9389463,0.9162109,0.9768386,0.9541032,0.9010539,0.9010539,0.8783185
2020-06-24.out.53,8.0,0.8783185,0.8934755,0.9010539,0.9768386,0.9465247,0.9465247,0.9919955,1.0147309,1.0298878,0.9692601,0.9692601,1.0071524,1.0147309,1.0829371,1.1359863,1.0602017,1.0450448,1.0677801,0.9919955,1.0298878,1.0298878,1.0223094,1.0298878,0.9465247,0.885897,0.885897,0.9313678,0.8480047,0.7722201,0.8328478,0.885897,0.7797985
2020-06-24.out.54,8.0,0.7949554,0.8707401,0.9162109,0.9313678,0.6282292,0.9541032,0.8025339,0.9313678,0.885897,0.8934755,0.7570631,0.8934755,0.9768386,0.9465247,0.9616817,0.9616817,0.9616817,1.0374663,1.0374663,1.0298878,0.885897,0.8934755,0.9692601,1.2420848,1.098094,1.0753586,1.211771,1.1890356,1.2496633,1.2496633,1.211771,1.1435648
2020-06-24.out.55,8.0,1.1587217,1.1359863,1.1359863,1.2496633,1.423968,1.3784972,1.2345064,1.2572418,1.1738786,1.1435648,1.1814571,1.2648202,1.2193494,1.2648202,1.3027125,1.3860756,1.4770172,1.4315464,1.4618603,1.408811,1.3027125,1.2345064,1.2648202,1.2193494,1.211771,1.3178695,1.1587217,1.2193494,1.3254479,1.2420848,1.2496633,1.2799771
2020-06-24.out.56,8.0,1.2723987,1.211771,1.1511433,1.2420848,1.2269279,1.2723987,1.2572418,1.196614,1.2496633,1.211771,1.1587217,1.0526232,0.9616817,0.9313678,0.7115923,0.8631616,0.9465247,0.9541032,0.9616817,0.9541032,0.9919955,0.8934755,0.9010539,0.9465247,1.0147309,0.999574,0.9692601,1.1663002,1.1359863,1.2193494,1.0677801,0.999574
2020-06-24.out.57,8.0,0.9389463,0.9086324,0.8176908,0.9313678,0.9919955,0.8480047,0.9162109,0.8707401,1.0147309,0.8783185,0.9237893,0.8480047,0.9313678,0.8783185,0.885897,0.8934755,0.8631616,0.8783185,0.9465247,0.9162109,0.984417,0.9010539,0.9389463,1.0071524,0.9389463,1.0071524,1.0602017,1.0677801,1.0298878,1.0374663,1.0071524,1.0905155
