,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15
2020-04-24.out.93,3.0,0.6889697,0.6906815,0.6895188,0.6894405,0.6919224,0.6926058,0.6958017,0.6964987,0.6958153,0.6992849,0.7078882,0.7081278,0.7066302,0.7081584,0.7144328,0.7237157
2020-04-24.out.94,3.0,0.6758628,0.6772738,0.6859828,0.6781969,0.6849679,0.6894048,0.6968591,0.6995586,0.7032814,0.7063378,0.7087024,0.7078576,0.7095642,0.7082367,0.7101133,0.7141845
2020-04-24.out.95,3.0,0.7158692,0.7180025,0.7167922,0.7162482,0.7124167,0.7133397,0.7139143,0.7118898,0.7112506,0.7155819,0.7155819,0.7133568,0.7098873,0.7161735,0.7142934,0.715961
2020-04-24.out.96,3.0,0.7110228,0.7138225,0.713265,0.7144582,0.7196089,0.7195307,0.7198962,0.7226652,0.7229389,0.7267398,0.7261958,0.7266055,0.7286776,0.7252422,0.725181,0.7237582
2020-04-24.out.97,3.0,0.7259086,0.7244416,0.7275761,0.7312987,0.7295004,0.7281642,0.7358305,0.7317084,0.7358747,0.7326655,0.7335102,0.736009,0.7365665,0.7350248,0.7425957,0.7432621
2020-04-24.out.98,3.0,0.7349942,0.7354344,0.7377989,0.7402058,0.7425838,0.7418563,0.7424309,0.7425091,0.7085478,0.6834634,0.691506,0.6745538,0.6929288,0.7019725,0.7038067,0.7144956
2020-04-24.out.99,3.0,0.7234642,0.7313702,0.7324462,0.7223711,0.7116466,0.7056953,0.7110721,0.7162788,0.7166579,0.714103,0.7166766,0.7189663,0.7214652,0.7208736,0.7234642,0.7257675
2020-04-24.out.100,3.0,0.7265511,0.7255669,0.7294153,0.7317322,0.7262332,0.7304301,0.7299338,0.7280096,0.7317798,0.731671,0.7335817,0.7361552,0.7377003,0.7379399,0.7311577,0.7194797
2020-04-24.out.101,3.0,0.7259765,0.7303825,0.7350316,0.7353681,0.7357642,0.7361739,0.7386114,0.7384584,0.7375525,0.7393814,0.7428507,0.7481013,0.7398641,0.7426637,0.7457727,0.7703238
2020-04-24.out.102,3.0,0.8928416,0.8031443,0.8035709,0.8016469,0.8025257,0.8000102,0.7990397,0.8015858,0.7912299,0.7970886,0.7994918,0.800345,0.7961045,0.7942247,0.7942111,0.8716441
2020-04-24.out.103,3.0,0.8061441,0.8046162,0.8095959,0.8120637,0.8104322,0.8154866,0.8153983,0.8153558,0.8208623,0.8212278,0.8251368,0.8254069,0.825215,0.8270742,0.826408,0.828376
2020-04-24.out.104,3.0,0.8274226,0.8324498,0.7989768,0.8034485,0.8038717,0.8035709,0.6341773,0.6456564,0.6530194,0.6598078,0.6728928,0.677561,0.6804527,0.6905097,0.6910112,0.6955399
2020-04-24.out.105,3.0,0.6961009,0.7022359,0.7060675,0.7089284,0.7112182,0.7125509,0.7118591,0.71728,0.7171593,0.7210691,0.7212951,0.7255227,0.7297638,0.7306562,0.7367773,0.7377139
2020-04-24.out.106,3.0,0.7390941,0.7458593,0.746286,0.7358628,0.7280911,0.7289275,0.7239112,0.735227,0.741892,0.7449228,0.7500085,0.7480759,0.7171764,0.6570214,0.6720921,0.6683827
2020-04-24.out.107,3.0,0.6831047,0.6900763,0.6974388,0.6990417,0.7080241,0.7028904,0.707436,0.7074495,0.7110109,0.7147812,0.7135097,0.7131748,0.7121957,0.7168721,0.7193879,0.7190224
2020-04-24.out.108,3.0,0.7234761,0.7221876,0.7240812,0.7241424,0.7231276,0.7255788,0.7229151,0.7235985,0.71651,0.7140418,0.717569,0.723233,0.7232941,0.7255057,0.7260802,0.727095
2020-04-24.out.109,3.0,0.7277784,0.7325192,0.7322149,0.728732,0.7294459,0.7322149,0.7328371,0.7319753,0.731518,0.7308517,0.7329901,0.7332909,0.73555,0.7338519,0.7321096,0.7312919
2020-04-24.out.110,3.0,0.7310829,0.7255669,0.7299899,0.7297332,0.7331856,0.7339862,0.7344264,0.7322626,0.7235067,0.7296244,0.7305338,0.7308517,0.733364,0.7327759,0.7366804,0.7367245
